grafana  | logger=settings t=2025-05-19T16:50:38.667137087Z level=info msg="Starting Grafana" version=12.0.0 commit=4c0e7045f97f356716755b47183b22e7f12bb4bf branch=HEAD compiled=2025-05-19T16:50:38Z
grafana  | logger=settings t=2025-05-19T16:50:38.671029379Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana  | logger=settings t=2025-05-19T16:50:38.671092879Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana  | logger=settings t=2025-05-19T16:50:38.671104962Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana  | logger=settings t=2025-05-19T16:50:38.671110129Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana  | logger=settings t=2025-05-19T16:50:38.671114754Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana  | logger=settings t=2025-05-19T16:50:38.671119504Z level=info msg=Target target=[all]
grafana  | logger=settings t=2025-05-19T16:50:38.671169087Z level=info msg="Path Home" path=/usr/share/grafana
grafana  | logger=settings t=2025-05-19T16:50:38.671173754Z level=info msg="Path Data" path=/var/lib/grafana
grafana  | logger=settings t=2025-05-19T16:50:38.671204045Z level=info msg="Path Logs" path=/var/log/grafana
grafana  | logger=settings t=2025-05-19T16:50:38.671217879Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana  | logger=settings t=2025-05-19T16:50:38.671223837Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
grafana  | logger=settings t=2025-05-19T16:50:38.671228504Z level=info msg="App mode production"
grafana  | ✔ Downloaded and extracted grafana-clickhouse-datasource v4.8.2 zip successfully to /var/lib/grafana/plugins/grafana-clickhouse-datasource
grafana  | 
grafana  | Please restart Grafana after installing or removing plugins. Refer to Grafana documentation for instructions if necessary.
grafana  | 
grafana  | 
grafana  | logger=settings t=2025-05-19T16:50:40.74231463Z level=info msg="Starting Grafana" version=12.0.0 commit=4c0e7045f97f356716755b47183b22e7f12bb4bf branch=HEAD compiled=2025-05-19T16:50:40Z
grafana  | logger=settings t=2025-05-19T16:50:40.742532338Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana  | logger=settings t=2025-05-19T16:50:40.742540963Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana  | logger=settings t=2025-05-19T16:50:40.742542921Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana  | logger=settings t=2025-05-19T16:50:40.742544338Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana  | logger=settings t=2025-05-19T16:50:40.742545588Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana  | logger=settings t=2025-05-19T16:50:40.742546755Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana  | logger=settings t=2025-05-19T16:50:40.742548046Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
