# started on Mon May 19 23:34:49 2025

1676468313,,cycles:u,157354421,49.00,,
6003080941,,instructions:u,156827504,49.00,3.58,insn per cycle
1690734,,cache-references:u,157166961,49.00,,
79726,,cache-misses:u,157734642,49.00,4.72,of all cache refs
449493578,,branch-instructions:u,158163028,49.00,,
48097,,branch-misses:u,160301409,50.00,0.01,of all branches
945042655,,L1-dcache-loads:u,160828326,50.00,,
1384533,,L1-dcache-load-misses:u,160488869,50.00,0.15,of all L1-dcache accesses
1839,,dTLB-loads:u,159921188,50.00,,
137,,dTLB-load-misses:u,159492802,50.00,7.45,of all dTLB cache accesses
